Rooms,Distance,Value
7.489,1.9709,50
7.802,2.0407,50
8.375,2.162,50
7.929,2.0459,50
7.831,3.1992,50
7.875,5.6484,50
8.034,5.118,50
8.725,2.8944,50
8.704,1.801,50
8.297,2.4216,50
7.923,5.885,50
4.97,1.3325,50
6.683,1.3567,50
7.016,1.2024,50
6.216,1.1691,50
5.875,1.1296,50
8.398,2.2885,48.8
7.853,5.118,48.5
8.247,3.6519,48.3
7.686,3.3751,46.7
7.645,5.2119,46
7.82,4.6947,45.4
8.266,2.8944,44.8
7.454,6.3361,44
7.82,3.4952,43.8
7.47,2.872,43.5
7.52,2.1398,43.1
8.259,8.9067,42.8
7.61,6.27,42.3
8.337,3.8384,41.7
6.943,1.8773,41.3
7.765,2.741,39.8
8.069,3.4952,38.7
7.155,2.7006,37.9
8.04,3.2157,37.6
7.148,5.1167,37.3
6.98,2.829,37.2
6.951,6.4798,37
7.206,1.9301,36.5
7.178,6.4798,36.4
7.147,6.0622,36.2
6.144,2.5979,36.2
7.236,4.022,36.1
7.333,1.8946,36
7.249,8.6966,35.4
6.968,5.2447,35.4
7.691,4.3665,35.2
6.812,4.1007,35.1
7.024,5.4011,34.9
7.185,4.5667,34.9
6.975,7.6534,34.9
7.185,4.9671,34.7
7.274,7.309,34.6
7.203,2.1121,33.8
6.998,6.0622,33.4
7.42,3.0992,33.4
7.287,7.309,33.3
7.416,3.4952,33.2
7.267,4.7872,33.2
6.826,4.8628,33.1
6.982,5.4917,33.1
7.104,9.2229,33
7.135,7.6534,32.9
7.241,7.0379,32.7
6.563,2.847,32.5
6.758,4.0776,32.4
7.088,7.3073,32.2
6.782,3.7886,32
6.854,4.2673,32
7.412,3.6715,31.7
6.816,8.3248,31.6
7.163,3.2157,31.6
6.552,3.3751,31.5
7.358,4.148,31.5
6.874,6.4654,31.2
6.8,6.2196,31.1
7.327,2.0788,31
6.595,5.4011,30.8
7.014,2.1329,30.7
6.739,6.4798,30.5
7.107,7.309,30.3
6.618,3.2721,30.1
6.842,2.0107,30.1
6.728,12.1265,30.1
6.86,2.9153,29.9
6.556,4.5667,29.8
6.153,3.2797,29.6
6.957,8.9067,29.6
6.546,3.1323,29.4
6.604,6.2196,29.1
6.482,4.1403,29.1
6.726,3.6519,29
7.041,7.8278,29
6.43,6.0622,28.7
7.079,3.4145,28.7
6.642,3.4211,28.7
6.678,5.9604,28.6
6.861,5.1167,28.5
6.625,3.4952,28.4
6.616,3.37,28.4
6.849,3.1827,28.2
6.375,3.9454,28.1
6.727,5.4007,28
6.63,5.1167,27.9
6.727,2.7778,27.5
6.879,3.2721,27.5
3.561,1.6132,27.5
6.172,5.9505,27.1
6.549,5.9604,27.1
6.25,1.7984,27
6.951,2.8617,26.7
6.77,5.7209,26.6
6.63,4.4377,26.6
6.939,8.7921,26.6
6.781,2.8561,26.5
5.604,2.9879,26.4
6.495,5.4917,26.4
6.718,7.8265,26.2
6.169,5.7209,25.3
6.24,4.429,25.2
6.631,4.148,25.1
6.511,6.8147,25
6.762,7.9809,25
6.211,3.6659,25
6.101,2.2834,25
6.182,3.9454,25
6.415,4.7211,25
6.398,2.5182,25
6.302,5.4007,24.8
6.438,7.3967,24.8
6.565,7.3172,24.8
6.871,7.8278,24.8
5.966,3.8473,24.7
6.211,5.7209,24.7
6.383,9.1876,24.7
6.315,3.3175,24.6
6.431,5.4159,24.6
6.433,7.8265,24.5
6.635,8.344,24.5
6.326,4.3549,24.4
6.064,4.2392,24.4
6.487,7.3967,24.4
6.538,3.9175,24.4
6.066,1.7573,24.3
